layer,accuracy,phon_lang,model_lang,model_seed
11,0.543,en,de,5
12,0.5253,en,de,5
0,0.3099,en,de2fr,1
1,0.3737,en,de2fr,1
2,0.4455,en,de2fr,1
3,0.4807,en,de2fr,1
4,0.5093,en,de2fr,1
5,0.5192,en,de2fr,1
6,0.5231,en,de2fr,1
7,0.5259,en,de2fr,1
8,0.5409,en,de2fr,1
9,0.5393,en,de2fr,1
10,0.5297,en,de2fr,1
11,0.5205,en,de2fr,1
12,0.4982,en,de2fr,1
0,0.3049,en,de2fr,2
1,0.3753,en,de2fr,2
2,0.4432,en,de2fr,2
3,0.4918,en,de2fr,2
4,0.5097,en,de2fr,2
5,0.5144,en,de2fr,2
6,0.5273,en,de2fr,2
7,0.5284,en,de2fr,2
8,0.5283,en,de2fr,2
9,0.5211,en,de2fr,2
10,0.5206,en,de2fr,2
11,0.5138,en,de2fr,2
12,0.4899,en,de2fr,2
0,0.304,en,de2fr,3
1,0.3717,en,de2fr,3
2,0.4448,en,de2fr,3
3,0.4832,en,de2fr,3
4,0.5103,en,de2fr,3
5,0.5163,en,de2fr,3
6,0.5271,en,de2fr,3
7,0.5245,en,de2fr,3
8,0.537,en,de2fr,3
9,0.5369,en,de2fr,3
10,0.5305,en,de2fr,3
11,0.5249,en,de2fr,3
12,0.5013,en,de2fr,3
0,0.304,en,de2fr,5
1,0.3746,en,de2fr,5
2,0.447,en,de2fr,5
3,0.4937,en,de2fr,5
4,0.51,en,de2fr,5
5,0.5219,en,de2fr,5
6,0.5198,en,de2fr,5
7,0.5296,en,de2fr,5
8,0.5327,en,de2fr,5
9,0.5311,en,de2fr,5
10,0.5284,en,de2fr,5
11,0.522,en,de2fr,5
12,0.4996,en,de2fr,5
0,0.3032,en,de2fr,6
1,0.375,en,de2fr,6
2,0.4445,en,de2fr,6
3,0.4836,en,de2fr,6
4,0.5128,en,de2fr,6
5,0.5103,en,de2fr,6
6,0.5184,en,de2fr,6
7,0.5278,en,de2fr,6
8,0.5318,en,de2fr,6
9,0.5288,en,de2fr,6
10,0.5262,en,de2fr,6
11,0.5205,en,de2fr,6
12,0.4979,en,de2fr,6
0,0.306,en,de2fr,7
1,0.3801,en,de2fr,7
2,0.4354,en,de2fr,7
3,0.4863,en,de2fr,7
4,0.5094,en,de2fr,7
5,0.5163,en,de2fr,7
6,0.5249,en,de2fr,7
7,0.5298,en,de2fr,7
8,0.5298,en,de2fr,7
9,0.5287,en,de2fr,7
10,0.5247,en,de2fr,7
11,0.5193,en,de2fr,7
12,0.4983,en,de2fr,7
0,0.3069,en,en,1
1,0.3808,en,en,1
2,0.4658,en,en,1
3,0.5086,en,en,1
4,0.5435,en,en,1
5,0.5807,en,en,1
6,0.5929,en,en,1
7,0.6083,en,en,1
8,0.6268,en,en,1
9,0.6366,en,en,1
10,0.6397,en,en,1
11,0.6364,en,en,1
12,0.6049,en,en,1
0,0.3037,en,en,2
1,0.3818,en,en,2
2,0.4769,en,en,2
3,0.5148,en,en,2
4,0.5401,en,en,2
5,0.5699,en,en,2
6,0.5919,en,en,2
7,0.6072,en,en,2
8,0.6148,en,en,2
9,0.629,en,en,2
10,0.6306,en,en,2
11,0.6271,en,en,2
12,0.5923,en,en,2
0,0.3023,en,en,3
1,0.3871,en,en,3
2,0.4679,en,en,3
3,0.5127,en,en,3
4,0.5569,en,en,3
5,0.5738,en,en,3
6,0.5974,en,en,3
7,0.6109,en,en,3
8,0.6231,en,en,3
9,0.6319,en,en,3
10,0.6353,en,en,3
11,0.6373,en,en,3
12,0.608,en,en,3
0,0.3043,en,en,4
1,0.3853,en,en,4
2,0.4733,en,en,4
3,0.5241,en,en,4
4,0.56,en,en,4
5,0.5777,en,en,4
6,0.5955,en,en,4
7,0.6088,en,en,4
8,0.6205,en,en,4
9,0.631,en,en,4
10,0.6352,en,en,4
11,0.6353,en,en,4
12,0.6062,en,en,4
0,0.3039,en,en2de,2
1,0.3789,en,en2de,2
2,0.4489,en,en2de,2
3,0.4858,en,en2de,2
4,0.5158,en,en2de,2
5,0.5365,en,en2de,2
6,0.5446,en,en2de,2
7,0.5485,en,en2de,2
8,0.5525,en,en2de,2
9,0.5514,en,en2de,2
10,0.5506,en,en2de,2
11,0.5454,en,en2de,2
12,0.5261,en,en2de,2
0,0.3043,en,en2de,4
1,0.38,en,en2de,4
2,0.4405,en,en2de,4
3,0.4856,en,en2de,4
4,0.5182,en,en2de,4
5,0.5339,en,en2de,4
6,0.5425,en,en2de,4
7,0.5495,en,en2de,4
8,0.545,en,en2de,4
9,0.5526,en,en2de,4
10,0.5562,en,en2de,4
11,0.5511,en,en2de,4
12,0.53,en,en2de,4
0,0.3078,en,en2de,6
1,0.3784,en,en2de,6
2,0.4545,en,en2de,6
3,0.4873,en,en2de,6
4,0.5158,en,en2de,6
5,0.5386,en,en2de,6
6,0.5465,en,en2de,6
7,0.5493,en,en2de,6
8,0.5553,en,en2de,6
9,0.557,en,en2de,6
10,0.5525,en,en2de,6
11,0.5478,en,en2de,6
12,0.5286,en,en2de,6
0,0.3035,en,en2fr,1
1,0.3805,en,en2fr,1
2,0.4522,en,en2fr,1
3,0.4872,en,en2fr,1
4,0.5132,en,en2fr,1
5,0.5157,en,en2fr,1
6,0.524,en,en2fr,1
7,0.5335,en,en2fr,1
8,0.5364,en,en2fr,1
9,0.5356,en,en2fr,1
10,0.531,en,en2fr,1
11,0.5222,en,en2fr,1
12,0.5015,en,en2fr,1
0,0.3047,en,en2fr,4
1,0.3775,en,en2fr,4
2,0.4464,en,en2fr,4
3,0.4836,en,en2fr,4
4,0.5132,en,en2fr,4
5,0.5175,en,en2fr,4
6,0.5315,en,en2fr,4
7,0.534,en,en2fr,4
8,0.5297,en,en2fr,4
9,0.5372,en,en2fr,4
10,0.5345,en,en2fr,4
11,0.5267,en,en2fr,4
12,0.5044,en,en2fr,4
0,0.3067,en,en2fr,5
1,0.3849,en,en2fr,5
2,0.4419,en,en2fr,5
3,0.4959,en,en2fr,5
4,0.5076,en,en2fr,5
5,0.5196,en,en2fr,5
6,0.5283,en,en2fr,5
7,0.5307,en,en2fr,5
8,0.5297,en,en2fr,5
9,0.5295,en,en2fr,5
10,0.5283,en,en2fr,5
11,0.5196,en,en2fr,5
12,0.4999,en,en2fr,5
0,0.3045,en,en2fr,8
1,0.3805,en,en2fr,8
2,0.4368,en,en2fr,8
3,0.4837,en,en2fr,8
4,0.5114,en,en2fr,8
5,0.5206,en,en2fr,8
6,0.5186,en,en2fr,8
7,0.5351,en,en2fr,8
8,0.5387,en,en2fr,8
9,0.5329,en,en2fr,8
10,0.5243,en,en2fr,8
11,0.5198,en,en2fr,8
12,0.4978,en,en2fr,8
0,0.3089,en,fr,1
1,0.369,en,fr,1
2,0.429,en,fr,1
3,0.4655,en,fr,1
4,0.4922,en,fr,1
5,0.5119,en,fr,1
6,0.5148,en,fr,1
7,0.5209,en,fr,1
8,0.5275,en,fr,1
9,0.5381,en,fr,1
10,0.5361,en,fr,1
11,0.5284,en,fr,1
12,0.5084,en,fr,1
0,0.3112,en,fr,2
1,0.3761,en,fr,2
2,0.4313,en,fr,2
3,0.4734,en,fr,2
4,0.5026,en,fr,2
5,0.5149,en,fr,2
6,0.5152,en,fr,2
7,0.5306,en,fr,2
8,0.5379,en,fr,2
9,0.5313,en,fr,2
10,0.5249,en,fr,2
11,0.5162,en,fr,2
12,0.4984,en,fr,2
0,0.3063,en,fr,4
1,0.369,en,fr,4
2,0.4418,en,fr,4
3,0.48,en,fr,4
4,0.5054,en,fr,4
5,0.5213,en,fr,4
6,0.5181,en,fr,4
7,0.5301,en,fr,4
8,0.5328,en,fr,4
9,0.5288,en,fr,4
10,0.5269,en,fr,4
11,0.5245,en,fr,4
12,0.506,en,fr,4
0,0.3027,en,fr2de,1
1,0.3769,en,fr2de,1
2,0.4383,en,fr2de,1
3,0.4872,en,fr2de,1
4,0.5182,en,fr2de,1
5,0.5338,en,fr2de,1
6,0.5312,en,fr2de,1
7,0.5477,en,fr2de,1
8,0.5543,en,fr2de,1
9,0.553,en,fr2de,1
10,0.5506,en,fr2de,1
11,0.5495,en,fr2de,1
12,0.5246,en,fr2de,1
0,0.3038,en,fr2de,6
1,0.3753,en,fr2de,6
2,0.447,en,fr2de,6
3,0.4881,en,fr2de,6
4,0.5108,en,fr2de,6
5,0.5296,en,fr2de,6
6,0.5353,en,fr2de,6
7,0.5418,en,fr2de,6
8,0.5436,en,fr2de,6
9,0.554,en,fr2de,6
10,0.5559,en,fr2de,6
11,0.5483,en,fr2de,6
12,0.525,en,fr2de,6
0,0.3057,en,fr2de,7
1,0.3745,en,fr2de,7
2,0.4399,en,fr2de,7
3,0.4875,en,fr2de,7
4,0.5112,en,fr2de,7
5,0.5297,en,fr2de,7
6,0.5388,en,fr2de,7
7,0.548,en,fr2de,7
8,0.5484,en,fr2de,7
9,0.5556,en,fr2de,7
10,0.5551,en,fr2de,7
11,0.5537,en,fr2de,7
12,0.532,en,fr2de,7
0,0.3763,fr,de,1
1,0.4889,fr,de,1
2,0.5768,fr,de,1
3,0.6392,fr,de,1
4,0.676,fr,de,1
5,0.696,fr,de,1
6,0.6966,fr,de,1
7,0.6897,fr,de,1
8,0.6843,fr,de,1
9,0.6789,fr,de,1
10,0.6649,fr,de,1
11,0.6533,fr,de,1
12,0.619,fr,de,1
0,0.3779,fr,de,2
1,0.4852,fr,de,2
2,0.5828,fr,de,2
3,0.6344,fr,de,2
4,0.6778,fr,de,2
5,0.6955,fr,de,2
6,0.6959,fr,de,2
7,0.6955,fr,de,2
8,0.6939,fr,de,2
9,0.682,fr,de,2
10,0.6674,fr,de,2
11,0.653,fr,de,2
12,0.6225,fr,de,2
0,0.3792,fr,de,3
1,0.4983,fr,de,3
2,0.5915,fr,de,3
3,0.651,fr,de,3
4,0.6823,fr,de,3
5,0.6918,fr,de,3
6,0.6964,fr,de,3
7,0.6923,fr,de,3
8,0.6893,fr,de,3
9,0.6782,fr,de,3
10,0.6683,fr,de,3
11,0.6542,fr,de,3
12,0.6221,fr,de,3
0,0.376,fr,de,4
1,0.5007,fr,de,4
2,0.5999,fr,de,4
3,0.6548,fr,de,4
4,0.687,fr,de,4
5,0.6938,fr,de,4
6,0.6981,fr,de,4
7,0.6938,fr,de,4
8,0.6863,fr,de,4
9,0.6793,fr,de,4
10,0.6684,fr,de,4
11,0.6589,fr,de,4
12,0.6282,fr,de,4
0,0.3736,fr,de,5
1,0.4911,fr,de,5
2,0.5972,fr,de,5
3,0.6538,fr,de,5
4,0.6815,fr,de,5
5,0.6974,fr,de,5
6,0.7007,fr,de,5
7,0.6987,fr,de,5
8,0.6924,fr,de,5
9,0.6829,fr,de,5
10,0.6722,fr,de,5
11,0.6603,fr,de,5
12,0.6311,fr,de,5
0,0.3756,fr,de2en,1
1,0.4995,fr,de2en,1
2,0.6012,fr,de2en,1
3,0.6494,fr,de2en,1
4,0.6866,fr,de2en,1
5,0.6909,fr,de2en,1
6,0.6945,fr,de2en,1
7,0.6927,fr,de2en,1
8,0.6868,fr,de2en,1
9,0.6769,fr,de2en,1
10,0.6667,fr,de2en,1
