layer,score,eval_lang,model_a,seed_a,model_b,seed_b,pre_steps
12,0.513,de,de,5,fr,7,0
0,0.9801,de,de,6,fr,1,0
1,0.8036,de,de,6,fr,1,0
2,0.6909,de,de,6,fr,1,0
3,0.6542,de,de,6,fr,1,0
4,0.6303,de,de,6,fr,1,0
5,0.5594,de,de,6,fr,1,0
6,0.451,de,de,6,fr,1,0
7,0.5019,de,de,6,fr,1,0
8,0.5315,de,de,6,fr,1,0
9,0.5566,de,de,6,fr,1,0
10,0.5514,de,de,6,fr,1,0
11,0.544,de,de,6,fr,1,0
12,0.5142,de,de,6,fr,1,0
0,0.9673,de,de,6,fr,2,0
1,0.8073,de,de,6,fr,2,0
2,0.6914,de,de,6,fr,2,0
3,0.6495,de,de,6,fr,2,0
4,0.6393,de,de,6,fr,2,0
5,0.5961,de,de,6,fr,2,0
6,0.5202,de,de,6,fr,2,0
7,0.4939,de,de,6,fr,2,0
8,0.5681,de,de,6,fr,2,0
9,0.6041,de,de,6,fr,2,0
10,0.5628,de,de,6,fr,2,0
11,0.5536,de,de,6,fr,2,0
12,0.5295,de,de,6,fr,2,0
0,0.978,de,de,6,fr,4,0
1,0.8153,de,de,6,fr,4,0
2,0.709,de,de,6,fr,4,0
3,0.6762,de,de,6,fr,4,0
4,0.6402,de,de,6,fr,4,0
5,0.6034,de,de,6,fr,4,0
6,0.4227,de,de,6,fr,4,0
7,0.4292,de,de,6,fr,4,0
8,0.5867,de,de,6,fr,4,0
9,0.6015,de,de,6,fr,4,0
10,0.555,de,de,6,fr,4,0
11,0.5667,de,de,6,fr,4,0
12,0.4823,de,de,6,fr,4,0
0,0.9742,de,de,6,fr,5,0
1,0.8038,de,de,6,fr,5,0
2,0.6949,de,de,6,fr,5,0
3,0.6416,de,de,6,fr,5,0
4,0.6146,de,de,6,fr,5,0
5,0.6008,de,de,6,fr,5,0
6,0.5795,de,de,6,fr,5,0
7,0.5455,de,de,6,fr,5,0
8,0.4555,de,de,6,fr,5,0
9,0.5023,de,de,6,fr,5,0
10,0.5889,de,de,6,fr,5,0
11,0.5414,de,de,6,fr,5,0
12,0.4996,de,de,6,fr,5,0
0,0.9835,de,de,6,fr,6,0
1,0.8052,de,de,6,fr,6,0
2,0.699,de,de,6,fr,6,0
3,0.673,de,de,6,fr,6,0
4,0.622,de,de,6,fr,6,0
5,0.6095,de,de,6,fr,6,0
6,0.4847,de,de,6,fr,6,0
7,0.5065,de,de,6,fr,6,0
8,0.5425,de,de,6,fr,6,0
9,0.5755,de,de,6,fr,6,0
10,0.5307,de,de,6,fr,6,0
11,0.5703,de,de,6,fr,6,0
12,0.4858,de,de,6,fr,6,0
0,0.9758,de,de,6,fr,7,0
1,0.8167,de,de,6,fr,7,0
2,0.7157,de,de,6,fr,7,0
3,0.6909,de,de,6,fr,7,0
4,0.6596,de,de,6,fr,7,0
5,0.6369,de,de,6,fr,7,0
6,0.5435,de,de,6,fr,7,0
7,0.4773,de,de,6,fr,7,0
8,0.529,de,de,6,fr,7,0
9,0.6338,de,de,6,fr,7,0
10,0.5877,de,de,6,fr,7,0
11,0.5739,de,de,6,fr,7,0
12,0.5219,de,de,6,fr,7,0
0,0.9858,de,fr,1,fr,2,0
1,0.9448,de,fr,1,fr,2,0
2,0.8878,de,fr,1,fr,2,0
3,0.8738,de,fr,1,fr,2,0
4,0.8571,de,fr,1,fr,2,0
5,0.8158,de,fr,1,fr,2,0
6,0.7194,de,fr,1,fr,2,0
7,0.7475,de,fr,1,fr,2,0
8,0.8019,de,fr,1,fr,2,0
9,0.7727,de,fr,1,fr,2,0
10,0.8256,de,fr,1,fr,2,0
11,0.8287,de,fr,1,fr,2,0
12,0.8357,de,fr,1,fr,2,0
0,0.9812,de,fr,1,fr,4,0
1,0.9509,de,fr,1,fr,4,0
2,0.9019,de,fr,1,fr,4,0
3,0.8865,de,fr,1,fr,4,0
4,0.8805,de,fr,1,fr,4,0
5,0.8116,de,fr,1,fr,4,0
6,0.7261,de,fr,1,fr,4,0
7,0.7305,de,fr,1,fr,4,0
8,0.7829,de,fr,1,fr,4,0
9,0.7739,de,fr,1,fr,4,0
10,0.8129,de,fr,1,fr,4,0
11,0.844,de,fr,1,fr,4,0
12,0.8472,de,fr,1,fr,4,0
0,0.9853,de,fr,1,fr,5,0
1,0.9323,de,fr,1,fr,5,0
2,0.879,de,fr,1,fr,5,0
3,0.8591,de,fr,1,fr,5,0
4,0.8463,de,fr,1,fr,5,0
5,0.8035,de,fr,1,fr,5,0
6,0.6917,de,fr,1,fr,5,0
7,0.7657,de,fr,1,fr,5,0
8,0.7889,de,fr,1,fr,5,0
9,0.7732,de,fr,1,fr,5,0
10,0.8527,de,fr,1,fr,5,0
11,0.8353,de,fr,1,fr,5,0
12,0.8405,de,fr,1,fr,5,0
0,0.9815,de,fr,1,fr,6,0
1,0.9427,de,fr,1,fr,6,0
2,0.8916,de,fr,1,fr,6,0
3,0.8574,de,fr,1,fr,6,0
4,0.8662,de,fr,1,fr,6,0
5,0.8281,de,fr,1,fr,6,0
6,0.7221,de,fr,1,fr,6,0
7,0.733,de,fr,1,fr,6,0
8,0.7992,de,fr,1,fr,6,0
9,0.8706,de,fr,1,fr,6,0
10,0.8685,de,fr,1,fr,6,0
11,0.8762,de,fr,1,fr,6,0
12,0.8329,de,fr,1,fr,6,0
0,0.9869,de,fr,1,fr,7,0
1,0.9545,de,fr,1,fr,7,0
2,0.8991,de,fr,1,fr,7,0
3,0.8739,de,fr,1,fr,7,0
4,0.8529,de,fr,1,fr,7,0
5,0.7822,de,fr,1,fr,7,0
6,0.7371,de,fr,1,fr,7,0
7,0.7428,de,fr,1,fr,7,0
8,0.8315,de,fr,1,fr,7,0
9,0.8342,de,fr,1,fr,7,0
10,0.8603,de,fr,1,fr,7,0
11,0.8443,de,fr,1,fr,7,0
12,0.839,de,fr,1,fr,7,0
0,0.9755,de,fr,2,fr,4,0
1,0.9592,de,fr,2,fr,4,0
2,0.9167,de,fr,2,fr,4,0
3,0.9154,de,fr,2,fr,4,0
4,0.8781,de,fr,2,fr,4,0
5,0.8602,de,fr,2,fr,4,0
6,0.7546,de,fr,2,fr,4,0
7,0.8176,de,fr,2,fr,4,0
8,0.8188,de,fr,2,fr,4,0
9,0.7927,de,fr,2,fr,4,0
10,0.8049,de,fr,2,fr,4,0
11,0.8252,de,fr,2,fr,4,0
12,0.8135,de,fr,2,fr,4,0
0,0.9818,de,fr,2,fr,5,0
1,0.9308,de,fr,2,fr,5,0
2,0.8965,de,fr,2,fr,5,0
3,0.8775,de,fr,2,fr,5,0
4,0.8764,de,fr,2,fr,5,0
5,0.8547,de,fr,2,fr,5,0
6,0.7829,de,fr,2,fr,5,0
7,0.8002,de,fr,2,fr,5,0
8,0.7721,de,fr,2,fr,5,0
9,0.7355,de,fr,2,fr,5,0
10,0.8064,de,fr,2,fr,5,0
11,0.8103,de,fr,2,fr,5,0
12,0.8124,de,fr,2,fr,5,0
0,0.972,de,fr,2,fr,6,0
1,0.9541,de,fr,2,fr,6,0
2,0.9179,de,fr,2,fr,6,0
3,0.898,de,fr,2,fr,6,0
4,0.8862,de,fr,2,fr,6,0
5,0.8838,de,fr,2,fr,6,0
6,0.7579,de,fr,2,fr,6,0
7,0.7688,de,fr,2,fr,6,0
8,0.7904,de,fr,2,fr,6,0
9,0.7915,de,fr,2,fr,6,0
10,0.7944,de,fr,2,fr,6,0
11,0.834,de,fr,2,fr,6,0
12,0.812,de,fr,2,fr,6,0
0,0.9812,de,fr,2,fr,7,0
1,0.9545,de,fr,2,fr,7,0
2,0.92,de,fr,2,fr,7,0
3,0.8999,de,fr,2,fr,7,0
4,0.8832,de,fr,2,fr,7,0
5,0.8833,de,fr,2,fr,7,0
6,0.8094,de,fr,2,fr,7,0
7,0.8359,de,fr,2,fr,7,0
8,0.8323,de,fr,2,fr,7,0
9,0.8251,de,fr,2,fr,7,0
10,0.8467,de,fr,2,fr,7,0
11,0.8311,de,fr,2,fr,7,0
12,0.8368,de,fr,2,fr,7,0
0,0.9806,de,fr,4,fr,5,0
1,0.9452,de,fr,4,fr,5,0
2,0.901,de,fr,4,fr,5,0
3,0.8979,de,fr,4,fr,5,0
4,0.8724,de,fr,4,fr,5,0
5,0.831,de,fr,4,fr,5,0
6,0.6803,de,fr,4,fr,5,0
7,0.7738,de,fr,4,fr,5,0
8,0.7296,de,fr,4,fr,5,0
9,0.7294,de,fr,4,fr,5,0
10,0.7651,de,fr,4,fr,5,0
11,0.8051,de,fr,4,fr,5,0
12,0.8435,de,fr,4,fr,5,0
0,0.9749,de,fr,4,fr,6,0
1,0.9575,de,fr,4,fr,6,0
2,0.9221,de,fr,4,fr,6,0
3,0.906,de,fr,4,fr,6,0
4,0.8973,de,fr,4,fr,6,0
5,0.8549,de,fr,4,fr,6,0
6,0.7445,de,fr,4,fr,6,0
7,0.7673,de,fr,4,fr,6,0
8,0.7998,de,fr,4,fr,6,0
9,0.7943,de,fr,4,fr,6,0
10,0.8157,de,fr,4,fr,6,0
11,0.8521,de,fr,4,fr,6,0
12,0.8425,de,fr,4,fr,6,0
0,0.983,de,fr,4,fr,7,0
1,0.9615,de,fr,4,fr,7,0
2,0.9204,de,fr,4,fr,7,0
3,0.9077,de,fr,4,fr,7,0
4,0.8886,de,fr,4,fr,7,0
5,0.8786,de,fr,4,fr,7,0
6,0.7678,de,fr,4,fr,7,0
7,0.8037,de,fr,4,fr,7,0
8,0.8036,de,fr,4,fr,7,0
9,0.8197,de,fr,4,fr,7,0
10,0.8278,de,fr,4,fr,7,0
11,0.8382,de,fr,4,fr,7,0
12,0.8593,de,fr,4,fr,7,0
0,0.9768,de,fr,5,fr,6,0
1,0.9372,de,fr,5,fr,6,0
2,0.8941,de,fr,5,fr,6,0
3,0.8772,de,fr,5,fr,6,0
4,0.884,de,fr,5,fr,6,0
5,0.8691,de,fr,5,fr,6,0
6,0.759,de,fr,5,fr,6,0
7,0.7819,de,fr,5,fr,6,0
8,0.7824,de,fr,5,fr,6,0
9,0.8032,de,fr,5,fr,6,0
10,0.8504,de,fr,5,fr,6,0
11,0.8427,de,fr,5,fr,6,0
12,0.8344,de,fr,5,fr,6,0
0,0.9847,de,fr,5,fr,7,0
1,0.9439,de,fr,5,fr,7,0
2,0.9078,de,fr,5,fr,7,0
3,0.8964,de,fr,5,fr,7,0
4,0.8935,de,fr,5,fr,7,0
5,0.8599,de,fr,5,fr,7,0
6,0.8032,de,fr,5,fr,7,0
7,0.7986,de,fr,5,fr,7,0
8,0.8134,de,fr,5,fr,7,0
9,0.7986,de,fr,5,fr,7,0
10,0.8485,de,fr,5,fr,7,0
11,0.8252,de,fr,5,fr,7,0
12,0.8443,de,fr,5,fr,7,0
0,0.9725,de,fr,6,fr,7,0
1,0.9547,de,fr,6,fr,7,0
2,0.9232,de,fr,6,fr,7,0
3,0.9153,de,fr,6,fr,7,0
4,0.8885,de,fr,6,fr,7,0
5,0.8804,de,fr,6,fr,7,0
6,0.7779,de,fr,6,fr,7,0
7,0.7838,de,fr,6,fr,7,0
8,0.8216,de,fr,6,fr,7,0
9,0.8508,de,fr,6,fr,7,0
10,0.8577,de,fr,6,fr,7,0
11,0.8617,de,fr,6,fr,7,0
12,0.8421,de,fr,6,fr,7,0
0,0.9802,de,de2fr,1,de,1,3360
0,0.9542,de,de2fr,1,de,2,3360
0,0.9752,de,de2fr,1,de,3,3360
0,0.9812,de,de2fr,1,de,4,3360
0,0.9761,de,de2fr,1,de,5,3360
0,0.9769,de,de2fr,1,de,6,3360
0,0.9828,de,de2fr,1,fr,1,3360
0,0.9689,de,de2fr,1,fr,2,3360
0,0.9827,de,de2fr,1,fr,4,3360
0,0.9767,de,de2fr,1,fr,5,3360
0,0.9702,de,de2fr,1,fr,6,3360
0,0.9812,de,de2fr,1,fr,7,3360
0,0.9769,de,de2fr,2,de,1,3360
0,0.9721,de,de2fr,2,de,2,3360
0,0.9721,de,de2fr,2,de,3,3360
0,0.9809,de,de2fr,2,de,4,3360
0,0.9755,de,de2fr,2,de,5,3360
0,0.9796,de,de2fr,2,de,6,3360
0,0.985,de,de2fr,2,fr,1,3360
