epoch,layer,model_a,seed_a,model_b,seed_b,score
7,8,de,4,fr,6,0.5868
8,8,de,4,fr,6,0.5735
9,8,de,4,fr,6,0.5742
10,8,de,4,fr,6,0.5838
11,8,de,4,fr,6,0.5561
12,8,de,4,fr,6,0.5686
13,8,de,4,fr,6,0.5387
14,8,de,4,fr,6,0.5931
15,8,de,4,fr,6,0.5454
16,8,de,4,fr,6,0.5634
17,8,de,4,fr,6,0.5643
18,8,de,4,fr,6,0.5328
19,8,de,4,fr,6,0.5096
20,8,de,4,fr,6,0.5326
21,8,de,4,fr,6,0.543
22,8,de,4,fr,6,0.5511
23,8,de,4,fr,6,0.5305
24,8,de,4,fr,6,0.5791
4,9,de,4,fr,6,0.636
5,9,de,4,fr,6,0.6224
6,9,de,4,fr,6,0.6225
7,9,de,4,fr,6,0.5942
8,9,de,4,fr,6,0.59
9,9,de,4,fr,6,0.5899
10,9,de,4,fr,6,0.6027
11,9,de,4,fr,6,0.5823
12,9,de,4,fr,6,0.5974
13,9,de,4,fr,6,0.5749
14,9,de,4,fr,6,0.5995
15,9,de,4,fr,6,0.5655
16,9,de,4,fr,6,0.6077
17,9,de,4,fr,6,0.5662
18,9,de,4,fr,6,0.5659
19,9,de,4,fr,6,0.5513
20,9,de,4,fr,6,0.569
21,9,de,4,fr,6,0.5756
22,9,de,4,fr,6,0.5802
23,9,de,4,fr,6,0.5861
24,9,de,4,fr,6,0.5977
4,10,de,4,fr,6,0.6101
5,10,de,4,fr,6,0.6057
6,10,de,4,fr,6,0.6107
7,10,de,4,fr,6,0.5905
8,10,de,4,fr,6,0.5907
9,10,de,4,fr,6,0.5947
10,10,de,4,fr,6,0.6047
11,10,de,4,fr,6,0.5948
12,10,de,4,fr,6,0.5914
13,10,de,4,fr,6,0.5822
14,10,de,4,fr,6,0.6101
15,10,de,4,fr,6,0.5694
16,10,de,4,fr,6,0.5952
17,10,de,4,fr,6,0.592
18,10,de,4,fr,6,0.5816
19,10,de,4,fr,6,0.5843
20,10,de,4,fr,6,0.5903
21,10,de,4,fr,6,0.5886
22,10,de,4,fr,6,0.608
23,10,de,4,fr,6,0.5994
24,10,de,4,fr,6,0.6128
4,11,de,4,fr,6,0.5438
5,11,de,4,fr,6,0.5204
6,11,de,4,fr,6,0.5259
7,11,de,4,fr,6,0.5445
8,11,de,4,fr,6,0.5238
9,11,de,4,fr,6,0.5549
10,11,de,4,fr,6,0.5709
11,11,de,4,fr,6,0.5765
12,11,de,4,fr,6,0.5374
13,11,de,4,fr,6,0.5262
14,11,de,4,fr,6,0.5927
15,11,de,4,fr,6,0.5034
16,11,de,4,fr,6,0.5621
17,11,de,4,fr,6,0.5585
18,11,de,4,fr,6,0.55
19,11,de,4,fr,6,0.54
20,11,de,4,fr,6,0.5491
21,11,de,4,fr,6,0.5424
22,11,de,4,fr,6,0.5459
23,11,de,4,fr,6,0.5464
24,11,de,4,fr,6,0.5383
4,12,de,4,fr,6,0.4018
5,12,de,4,fr,6,0.4284
6,12,de,4,fr,6,0.4347
7,12,de,4,fr,6,0.4841
8,12,de,4,fr,6,0.4595
9,12,de,4,fr,6,0.5094
10,12,de,4,fr,6,0.4991
11,12,de,4,fr,6,0.4675
12,12,de,4,fr,6,0.4778
13,12,de,4,fr,6,0.4751
14,12,de,4,fr,6,0.507
15,12,de,4,fr,6,0.4801
16,12,de,4,fr,6,0.506
17,12,de,4,fr,6,0.4947
18,12,de,4,fr,6,0.513
19,12,de,4,fr,6,0.5229
20,12,de,4,fr,6,0.5022
21,12,de,4,fr,6,0.5309
22,12,de,4,fr,6,0.511
23,12,de,4,fr,6,0.5468
24,12,de,4,fr,6,0.5269
4,0,de,6,fr,4,0.9709
5,0,de,6,fr,4,0.9693
6,0,de,6,fr,4,0.9781
7,0,de,6,fr,4,0.9727
8,0,de,6,fr,4,0.9711
9,0,de,6,fr,4,0.9708
10,0,de,6,fr,4,0.9715
11,0,de,6,fr,4,0.961
12,0,de,6,fr,4,0.9695
13,0,de,6,fr,4,0.958
14,0,de,6,fr,4,0.9709
15,0,de,6,fr,4,0.9609
16,0,de,6,fr,4,0.9606
17,0,de,6,fr,4,0.9721
18,0,de,6,fr,4,0.9614
19,0,de,6,fr,4,0.9658
20,0,de,6,fr,4,0.9787
21,0,de,6,fr,4,0.9624
22,0,de,6,fr,4,0.9578
23,0,de,6,fr,4,0.9663
24,0,de,6,fr,4,0.9785
