steps,valid_acc,label
300,0.306,fr25
400,0.426,fr25
500,0.534,fr25
600,0.637,fr25
700,0.717,fr25
800,0.768,fr25
900,0.802,fr25
1000,0.822,fr25
1100,0.839,fr25
1200,0.854,fr25
1300,0.863,fr25
1400,0.871,fr25
1500,0.877,fr25
1600,0.884,fr25
1700,0.887,fr25
1800,0.893,fr25
1900,0.897,fr25
2000,0.901,fr25
2100,0.902,fr25
2200,0.905,fr25
2300,0.906,fr25
2400,0.91,fr25
2500,0.91,fr25
2600,0.913,fr25
2700,0.914,fr25
2800,0.914,fr25
2900,0.917,fr25
3000,0.919,fr25
0,0,fr25_take2
100,0.0926,fr25_take2
200,0.159,fr25_take2
300,0.308,fr25_take2
400,0.425,fr25_take2
500,0.543,fr25_take2
600,0.66,fr25_take2
700,0.733,fr25_take2
800,0.778,fr25_take2
900,0.807,fr25_take2
1000,0.825,fr25_take2
1100,0.845,fr25_take2
1200,0.856,fr25_take2
1300,0.866,fr25_take2
1400,0.874,fr25_take2
1500,0.881,fr25_take2
1600,0.886,fr25_take2
1700,0.89,fr25_take2
1800,0.894,fr25_take2
1900,0.899,fr25_take2
2000,0.902,fr25_take2
2100,0.904,fr25_take2
2200,0.907,fr25_take2
2300,0.91,fr25_take2
2400,0.91,fr25_take2
2500,0.911,fr25_take2
2600,0.914,fr25_take2
2700,0.914,fr25_take2
2800,0.916,fr25_take2
2900,0.919,fr25_take2
3000,0.92,fr25_take2
0,0,fr25_take3
100,0.09,fr25_take3
200,0.137,fr25_take3
300,0.282,fr25_take3
400,0.406,fr25_take3
500,0.533,fr25_take3
600,0.642,fr25_take3
700,0.72,fr25_take3
800,0.77,fr25_take3
900,0.805,fr25_take3
1000,0.824,fr25_take3
1100,0.84,fr25_take3
1200,0.853,fr25_take3
1300,0.863,fr25_take3
1400,0.872,fr25_take3
1500,0.879,fr25_take3
1600,0.883,fr25_take3
1700,0.888,fr25_take3
1800,0.894,fr25_take3
1900,0.896,fr25_take3
2000,0.9,fr25_take3
2100,0.902,fr25_take3
2200,0.905,fr25_take3
2300,0.908,fr25_take3
2400,0.91,fr25_take3
2500,0.911,fr25_take3
2600,0.913,fr25_take3
2700,0.914,fr25_take3
2800,0.916,fr25_take3
2900,0.917,fr25_take3
3000,0.919,fr25_take3
0,0,fr25_take4
100,0.0899,fr25_take4
200,0.178,fr25_take4
300,0.332,fr25_take4
400,0.424,fr25_take4
500,0.553,fr25_take4
600,0.651,fr25_take4
700,0.721,fr25_take4
800,0.769,fr25_take4
900,0.798,fr25_take4
1000,0.818,fr25_take4
1100,0.84,fr25_take4
1200,0.849,fr25_take4
1300,0.861,fr25_take4
1400,0.87,fr25_take4
1500,0.876,fr25_take4
1600,0.883,fr25_take4
1700,0.887,fr25_take4
1800,0.892,fr25_take4
1900,0.895,fr25_take4
2000,0.897,fr25_take4
2100,0.901,fr25_take4
2200,0.904,fr25_take4
2300,0.906,fr25_take4
2400,0.908,fr25_take4
2500,0.911,fr25_take4
2600,0.911,fr25_take4
2700,0.912,fr25_take4
2800,0.914,fr25_take4
2900,0.915,fr25_take4
3000,0.918,fr25_take4
0,0,fr25_take5
100,0.0885,fr25_take5
200,0.154,fr25_take5
300,0.294,fr25_take5
400,0.406,fr25_take5
500,0.523,fr25_take5
600,0.638,fr25_take5
700,0.71,fr25_take5
800,0.762,fr25_take5
900,0.795,fr25_take5
1000,0.814,fr25_take5
1100,0.833,fr25_take5
1200,0.847,fr25_take5
1300,0.858,fr25_take5
1400,0.865,fr25_take5
1500,0.873,fr25_take5
1600,0.88,fr25_take5
1700,0.882,fr25_take5
1800,0.889,fr25_take5
1900,0.891,fr25_take5
2000,0.896,fr25_take5
2100,0.899,fr25_take5
2200,0.901,fr25_take5
2300,0.902,fr25_take5
2400,0.905,fr25_take5
2500,0.906,fr25_take5
2600,0.909,fr25_take5
2700,0.911,fr25_take5
2800,0.913,fr25_take5
2900,0.912,fr25_take5
3000,0.915,fr25_take5
0,0,fr25_take6
100,0.0921,fr25_take6
200,0.169,fr25_take6
300,0.32,fr25_take6
400,0.43,fr25_take6
500,0.548,fr25_take6
600,0.652,fr25_take6
700,0.725,fr25_take6
800,0.77,fr25_take6
900,0.806,fr25_take6
1000,0.82,fr25_take6
1100,0.842,fr25_take6
1200,0.852,fr25_take6
1300,0.864,fr25_take6
1400,0.872,fr25_take6
1500,0.877,fr25_take6
1600,0.884,fr25_take6
1700,0.889,fr25_take6
1800,0.893,fr25_take6
1900,0.897,fr25_take6
2000,0.9,fr25_take6
2100,0.903,fr25_take6
2200,0.905,fr25_take6
2300,0.906,fr25_take6
2400,0.909,fr25_take6
2500,0.912,fr25_take6
2600,0.913,fr25_take6
2700,0.915,fr25_take6
2800,0.916,fr25_take6
2900,0.916,fr25_take6
3000,0.92,fr25_take6
